,기업명,채용공고,위치,위치상세,태그,마감일,경력
0,해긴,데이터 기획 및 분석 (BI),서울 구로구,구로구 경인로 662 디큐브시티 타워동 39층,"편의시설,자유로운휴가,대출지원,스톡옵션,식대지원,커피·스낵바,건강검진지원,보너스,설립4~9년",상시채용,경력 5-10년
1,앤서스랩코리아,[ATI]AI Engineer,서울 강남구,"서울특별시 강남구 언주로 609, PAX TOWER 4층","복지포인트,커피·스낵바,식대지원,사내동호회,자기계발지원,유망산업,301~1,000명,설립10년이상",상시채용,경력 5-10년
2,페이히어,[200억↑투자] 데이터 엔지니어,서울 강남구,"서울특별시 강남구 강남대로 374, 16층","커피·스낵바,장비지원,산업기능요원,설립4~9년",상시채용,경력 3-10년
3,잼팟,BI/DW 담당자,서울 영등포구,서울특별시 영등포구 문래로28길,"식대지원,복지포인트,커피·스낵바,유연근무,설립10년이상",상시채용,경력 5-10년
4,앤서스랩코리아,[ATI]MLOps Engineer,서울 강남구,"서울특별시 강남구 언주로 609, PAX TOWER 4층","복지포인트,커피·스낵바,식대지원,사내동호회,자기계발지원,유망산업,301~1,000명,설립10년이상",상시채용,경력 5-10년
5,인포유앤컴퍼니,Data Engineer (BI 개발자),서울 성동구,"서울시 성동구 성수일로 111, 선명스퀘어 311호","보너스,사내동호회,유연근무,설립4~9년",상시채용,경력 2-10년
6,토스뱅크,Risk System Developer,서울 강남구,서울특별시 강남구 테헤란로 131,"통신비,단체보험,보너스,커피·스낵바,재택근무,편의시설,대출지원,유급휴가,301~1,000명,설립4~9년",상시채용,경력 2-20년
7,인센드,백엔드 개발자,경기 성남시,경기도 성남시 분당구 황새울로319번길 6 410호,,상시채용,경력 8-15년
8,인포유앤컴퍼니,PM(Project Manager),서울 성동구,"서울시 성동구 성수일로 111, 선명스퀘어 311호","보너스,사내동호회,유연근무,설립4~9년",상시채용,경력 2-10년
9,세이브더칠드런코리아,IT팀 DW/BI 담당자,서울 마포구,서울특별시 마포구 토정로 174,"유연근무,설립10년이상",상시채용,경력 4-15년
