,기업명,채용공고,위치,위치상세,태그,마감일,경력
0,덴컴,Front-end 개발자,서울 강남구,"서울특별시 강남구 삼성로85길 26, V&S 14층","유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 4-10년
1,한국딥러닝주식회사,AI 엔지니어 (1년 이상),서울 서초구,서초구 강남대로89길 30,"편의시설,보너스,연봉상위2~5%,50명이하,설립4~9년,유망산업,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 1-10년
2,휴톰,Dev Ops 개발자(3년 이상),서울 마포구,서울특별시 마포구 독막로 279 상장회사회관 6층,"유망산업,건강검진지원,커피·스낵바,복지포인트,보너스,유연근무,장비지원,자유로운휴가,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 3-20년
3,펀진,딥러닝 엔지니어,서울 성동구,서울시 성동구 연무장5가길 7 현대테라스타워 East동 13층,"편의시설,스톡옵션,보너스,육아휴직,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 1-3년
4,유니드컴즈,AI 엔지니어,서울 마포구,"서울 마포구 양화로 81, 패스트파이브 합정점 L1 L105호 유니드컴즈","자기계발지원,재택근무,식대지원,유망산업,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 3-10년
5,덴컴,AI Research Leader,서울 강남구,"서울특별시 강남구 삼성로85길 26, V&S 14층","유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 10-15년
6,셀렉트스타,백엔드 개발자,서울 강남구,"서울특별시 강남구 테헤란로20길 20, 삼정빌딩 10F/11F","유망산업,장비지원,유급휴가,식대지원,재택근무,무제한연차,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 3-5년
7,이글루코퍼레이션,보안솔루션 기술지원 엔지니어 (1년 이상),서울 송파구,서울 송파구 문정동 정의로 8길 7 한스빌딩 ㈜이글루코퍼레이션,"유연근무,단체보험,사내동호회,통신비,유망산업,1,001~10,000명,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",2024.05.30,경력 1-2년
8,덴컴,음성 및 자연어 AI Researcher 및 AI Senior Researcher,서울 강남구,"서울특별시 강남구 삼성로85길 26, V&S 14층","유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 4-10년
9,인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP)",서울 금천구,서울 금천구 가산디지털1로 171 가산SKV1 센터 1001호,"유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 2-7년
10,비주얼신,Deep Learning Engineer,서울 강남구,서울 강남구 선릉로 578 태정빌딩 8층,"편의시설,복지포인트,유연근무,장비지원,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",2024.05.31,경력 3-7년
11,라이프시맨틱스,ML Researcher,서울 강남구,"강남구 언주로 533, 라이프시맨틱스빌딩","커피·스낵바,편의시설,유연근무,자기계발지원,장비지원,건강검진지원,유망산업,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 3-10년
12,이지식스(엠블),[TADA] DevOps Engineer,서울 강남구,테헤란로20길 9 동궁빌딩 13층,"커피·스낵바,휴가비,보너스,유망산업,재택근무,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 5-8년
13,와이즐리컴퍼니,애널리틱스 엔지니어,서울 서초구,서울특별시 서초구 서초대로 396(강남빌딩) 스파크플러스 강남2호점 18층 와이즐리컴퍼니,"건강검진지원,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 3-10년
14,이모티브,머신러닝연구원(ML Researcher),서울 강남구,"서울시 강남구 테헤란로 86길 14, 7~8층","건강검진지원,커피·스낵바,유급휴가,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 2-8년
15,보로노이,신약개발 인공지능 연구원 (3년이상),인천 연수구,연수구 송도과학로 32 IT센터,"유망산업,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 3-10년
16,퀀팃,금융 데이터 솔루션(QUANDA) 개발자,경기 성남시,"경기도 성남시 분당구 판교역로 180, 알파타워 402호","재택근무,스톡옵션,워크샵,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,신입-경력 7년
17,플래티어,[그루비 SaaS 솔루션] 데이터사이언스팀 리더,서울 송파구,서울시 송파구 법원로9길 26 H Business Park D동 6층,"유망산업,장비지원,편의시설,커피·스낵바,식대지원,사내동호회,유연근무,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 5-15년
18,알스퀘어,[1100억↑투자] Data Engineer (3년 이상),서울 강남구,서울 강남구 테헤란로 311(아남타워),"유급휴가,보너스,유연근무,재택근무,식대지원,사내동호회,워크샵,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",2024.05.31,경력 3-20년
19,에너넷,FE 개발자,서울 ,www.iener.net,"육아휴직,출산휴가,자율복장,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 5-10년
20,베어로보틱스코리아,Software Test Automation Engineer,서울 성동구,서울 성동구 성수일로 10,"건강검진지원,자기계발지원,보너스,커피·스낵바,유망산업,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",2024.05.31,경력 1-10년
