,기업명,채용공고,위치,위치상세,태그,마감일,경력
0,브릭,데이터 분석가,경기 성남시,경기도 성남시 분당구 판교역로 230,"건강검진지원,출산휴가,자기계발지원,육아휴직,리프레시휴가,연봉상위6~10%,51~300명,설립10년이상",상시채용,경력 5-15년
1,인터엑스,[서울][전문연구요원] 데이터 분석가 (이미지 및 영상),서울 금천구,서울 금천구 가산디지털1로 171 가산SKV1 센터 1001호,"유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 2-5년
2,인터엑스,[울산][전문연구요원] 데이터 분석가 (이미지 및 영상),울산 남구,"울산광역시 중구 종가6길 7, 더테라스 1001~1003호","유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 2-5년
3,퀀팃,금융 데이터 솔루션(QUANDA) 개발자,경기 성남시,"경기도 성남시 분당구 판교역로 180, 알파타워 402호","재택근무,스톡옵션,워크샵,연봉상위2~5%,인원급성장,51~300명,설립4~9년",상시채용,신입-경력 7년
4,플래티어,[그루비 SaaS 솔루션] 데이터사이언티스트,서울 송파구,서울시 송파구 법원로9길 26 H Business Park D동 6층,"유망산업,장비지원,편의시설,커피·스낵바,식대지원,사내동호회,유연근무,연봉상위1%,인원급성장,51~300명,설립10년이상",상시채용,경력 1-6년
5,인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP)",서울 금천구,서울 금천구 가산디지털1로 171 가산SKV1 센터 1001호,"유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 2-7년
6,쏘카(SOCAR),Data Engineer(Senior),서울 성동구,"서울특별시 성동구 왕십리로 83-21, 아크로서울포레스트 디타워 3-5F","자유로운휴가,어린이돌봄,유연근무,건강검진지원,휴가비,설립10년이상",2024.05.31,경력 5-10년
7,제트에이아이,ML Research 엔지니어 (병역특례 가능),서울 관악구,서울시 남부순환로 1783 C&J 메디타워 6층,"인원급성장,50명이하,설립3년이하,자기계발지원,식대지원,유망산업",상시채용,신입-경력 10년
8,쏘카(SOCAR),Data Engineer(Junior),서울 성동구,"서울특별시 성동구 왕십리로 83-21, 아크로서울포레스트 디타워 3-5F","자유로운휴가,어린이돌봄,유연근무,건강검진지원,휴가비,설립10년이상",2024.05.31,경력 2-7년
9,씨엘모빌리티,"AI연구소 AI 개발 연구 (딥러닝, 강화학습 분야)",서울 강남구,서울특별시 강남구 강남대로 318 타워837 8층,"커피·스낵바,자기계발지원,건강검진지원,복지포인트,유연근무,유망산업,연봉업계평균이상,인원급성장,51~300명,퇴사율 6~10%,설립10년이상",2024.06.06,경력 2-7년
10,셀렉트스타,AI NLP 연구원,서울 강남구,"서울특별시 강남구 테헤란로20길 20, 삼정빌딩 10F/11F","유망산업,장비지원,유급휴가,식대지원,재택근무,무제한연차,인원급성장,51~300명,설립4~9년",상시채용,경력 3-5년
