,기업명,채용공고,위치,위치상세,태그,마감일,경력
0,매스어답션,프론트엔드 엔지니어 (React.js / 5년 이상),서울 성동구,서울시 성동구 아차산로9길 21 이레타워 2층,"자기계발지원,커피·스낵바,자유로운휴가,식대지원,유망산업,장비지원,인원급성장,50명이하,설립3년이하",2024.05.11,경력 5-7년
1,이지식스(엠블),[TADA] DevOps Engineer,서울 강남구,테헤란로20길 9 동궁빌딩 13층,"커피·스낵바,휴가비,보너스,유망산업,재택근무,연봉업계평균이상,50명이하,설립10년이상",상시채용,경력 5-8년
2,블루밍비트,React Native 모바일 앱 개발자 (3년 이상),서울 강남구,강남구 영동대로85길 38 (진성빌딩) 8층,"유망산업,워크샵,유급휴가,연봉업계평균이상,인원급성장,50명이하,설립3년이하",2024.05.31,경력 3-7년
3,카펜스트리트(에이콘3D),Frontend Engineer (5년 이상),서울 강남구,"서울 강남구 언주로93길 27 (4층), 카펜스트리트","식대지원,편의시설,스톡옵션,재택근무,장비지원,건강검진지원,커피·스낵바,연봉상위2~5%,51~300명,설립4~9년",상시채용,경력 5-8년
4,하우빌드,Frontend Engineer(5년 이상),서울 강남구,강남구 삼성동 테헤란로 625 덕명빌딩 16층,"사내동호회,식대지원,건강검진지원,커피·스낵바,재택근무,보너스,유급휴가,연봉상위1%,인원성장,51~300명,설립10년이상",상시채용,경력 5-12년
5,딥세일즈,프론트엔드 개발자 /5년 이상,서울 강남구,"강남구 테헤란로 518, 13층","유망산업,스톡옵션,커피·스낵바,식대지원,장비지원,인원급성장,50명이하,설립3년이하",상시채용,경력 5-10년
6,블루밍비트,백엔드 엔지니어(파이썬) (3년 이상),서울 강남구,강남구 영동대로85길 38 (진성빌딩) 8층,"유망산업,워크샵,유급휴가,연봉업계평균이상,인원급성장,50명이하,설립3년이하",2024.05.31,경력 3-7년
7,에스제이에이치스튜디오,클라이언트 개발자,서울 ,재택,"유급휴가,자기계발지원,식대지원,건강검진지원,커피·스낵바,재택근무,연봉상위2~5%,인원급성장,50명이하,설립4~9년",상시채용,경력 1-7년
8,씨엘모빌리티,"AI연구소 AI 개발 연구 (딥러닝, 강화학습 분야)",서울 강남구,서울특별시 강남구 강남대로 318 타워837 8층,"커피·스낵바,자기계발지원,건강검진지원,복지포인트,유연근무,유망산업,연봉업계평균이상,인원급성장,51~300명,퇴사율 6~10%,설립10년이상",2024.06.06,경력 2-7년
9,비큐에이아이,서비스개발본부 백엔드개발팀 (3년 이상),서울 중구,"중구 퇴계로 385 (흥인동) 준타워 5,6,9층","리프레시휴가,유망산업,건강검진지원,51~300명,설립10년이상",상시채용,경력 3-7년
